source_state,vm_count,mode,round,application_ready_seconds_baseline,application_ready_seconds_variant,application_ready_seconds_improvement_percent,first_operation_seconds_baseline,first_operation_seconds_variant,first_operation_seconds_improvement_percent,held_memory_bytes_baseline,held_memory_bytes_variant,held_memory_bytes_improvement_percent,held_anon_bytes_baseline,held_anon_bytes_variant,held_anon_bytes_improvement_percent,held_file_bytes_baseline,held_file_bytes_variant,held_file_bytes_improvement_percent,held_shmem_bytes_baseline,held_shmem_bytes_variant,held_shmem_bytes_improvement_percent,launch_memory_growth_bytes_baseline,launch_memory_growth_bytes_variant,launch_memory_growth_bytes_improvement_percent,launch_cpu_usec_baseline,launch_cpu_usec_variant,launch_cpu_usec_improvement_percent,launch_io_wbytes_baseline,launch_io_wbytes_variant,launch_io_wbytes_improvement_percent,total_pss_kib_baseline,total_pss_kib_variant,total_pss_kib_improvement_percent
plaintext-cold,1,lazy-pmem,1,0.792179057,0.502978647,36.506949716041284,0.003210953,0.001587861,50.548606597480564,121634816.0,119734272.0,1.5625,53264384.0,51503104.0,3.306674869270994,61173760.0,61054976.0,0.1941747572815534,50163712.0,60825600.0,-21.25418469829346,111886336.0,110149632.0,1.552203836579294,638534.0,603263.0,5.523746582014427,11071488.0,192512.0,98.26119126896042,93938.0,93936.0,0.0021290638506248805
plaintext-cold,1,lazy-pmem,2,1.289399549,0.478638334,62.87897460711769,0.002817435,0.002088123,25.885672606466525,119242752.0,119660544.0,-0.3503709810387469,50880512.0,51150848.0,-0.5313154081468363,61059072.0,61050880.0,0.013416515730864696,50053120.0,60825600.0,-21.522094926350245,108793856.0,110583808.0,-1.6452693799179248,650342.0,586833.0,9.765477241205396,11071488.0,192512.0,98.26119126896042,92534.0,92431.0,0.11131043724468845
plaintext-cold,1,lazy-pmem,3,0.795026772,0.627852524,21.027499184643812,0.003538571,0.004099992,-15.86575484849676,121225216.0,120492032.0,0.6048114610082443,52690944.0,52072448.0,1.173818407960199,61190144.0,61181952.0,0.013387776959635852,50184192.0,60956672.0,-21.465883121123085,112156672.0,111124480.0,0.9203126141260682,696250.0,667753.0,4.092926391382406,11071488.0,192512.0,98.26119126896042,92548.0,92348.0,0.2161040757228681
plaintext-cold,1,lazy-pmem,4,0.777544358,0.697830322,10.252024232423283,0.002967661,0.003215372,-8.347011333167782,120287232.0,117948416.0,1.9443593148772431,51109888.0,49463296.0,3.221670139445424,61169664.0,61161472.0,0.013392259274139548,50163712.0,60936192.0,-21.47464685229036,110694400.0,108388352.0,2.0832562442183162,637519.0,774151.0,-21.431831835600192,11071488.0,192512.0,98.26119126896042,93772.0,92407.0,1.4556584054941775
plaintext-cold,1,lazy-pmem,5,0.651428364,0.514631926,20.999459888424518,0.001709624,0.001834059,-7.278501003729475,119717888.0,120147968.0,-0.3592445600109484,50880512.0,51163136.0,-0.5554661085171471,61059072.0,61050880.0,0.013416515730864696,50053120.0,60825600.0,-21.522094926350245,110145536.0,111071232.0,-0.8404298836041798,643473.0,633480.0,1.552978912868139,11071488.0,192512.0,98.26119126896042,93165.0,92537.0,0.6740728814468953
plaintext-cold,1,lazy-pmem,6,0.930036494,0.731322686,21.366237699485364,0.002129213,0.00314352,-47.63764827661675,122871808.0,122757120.0,0.09333955597039803,53559296.0,54325248.0,-1.430100948302233,61169664.0,61161472.0,0.013392259274139548,50163712.0,60936192.0,-21.47464685229036,113180672.0,112963584.0,0.19180660104226982,631960.0,831968.0,-31.648838534084433,11071488.0,192512.0,98.26119126896042,93825.0,93151.0,0.7183586464162004
plaintext-cold,1,lazy-pmem,7,0.650437564,0.497970787,23.44064756382981,0.00284012,0.001997072,29.683534498542315,121806848.0,121806848.0,0.0,53358592.0,53043200.0,0.5910800644814616,61059072.0,61050880.0,0.013416515730864696,50053120.0,60825600.0,-21.522094926350245,112517120.0,111915008.0,0.5351292318893338,640587.0,613526.0,4.224406677000938,11071488.0,192512.0,98.26119126896042,92685.0,92833.0,-0.1596806387225549
plaintext-cold,1,lazy-pmem,8,0.647718885,0.488042862,24.65205611536245,0.004666404,0.002863967,38.62582408209833,121593856.0,118149120.0,2.8329852455703026,52731904.0,49324032.0,6.462637874786391,61239296.0,61181952.0,0.09363922145675874,50184192.0,60956672.0,-21.465883121123085,112218112.0,107778048.0,3.9566375880570868,630078.0,594998.0,5.5675646507257825,11071488.0,192512.0,98.26119126896042,94222.0,93467.0,0.8012990596675935
plaintext-cold,1,lazy-pmem,9,0.842326927,0.499897601,40.65278160103268,0.003884828,0.002964577,23.68833317717026,116264960.0,122658816.0,-5.499383477188656,47693824.0,54648832.0,-14.582617657162485,61059072.0,61083648.0,-0.04024954719259408,50053120.0,60825600.0,-21.522094926350245,106635264.0,112275456.0,-5.289237151417377,736577.0,639015.0,13.245322620717182,11071488.0,192512.0,98.26119126896042,91997.0,94296.0,-2.4989945324304053
plaintext-cold,1,lazy-pmem,10,0.635124152,0.518019468,18.438077599669057,0.005592066,0.003190513,42.94571988241913,125022208.0,119042048.0,4.783278183664778,56156160.0,50286592.0,10.452224653537563,61059072.0,61227008.0,-0.27503857248272623,50053120.0,61001728.0,-21.873977086743043,115687424.0,109617152.0,5.247132134258604,613316.0,631201.0,-2.9161150206418878,11071488.0,192512.0,98.26119126896042,93901.0,93929.0,-0.029818638779139733
