source_state,vm_count,mode,pairs,application_ready_seconds_median_improvement_percent,application_ready_seconds_win_rate_percent,first_operation_seconds_median_improvement_percent,first_operation_seconds_win_rate_percent,held_memory_bytes_median_improvement_percent,held_memory_bytes_win_rate_percent,held_anon_bytes_median_improvement_percent,held_anon_bytes_win_rate_percent,held_file_bytes_median_improvement_percent,held_file_bytes_win_rate_percent,held_shmem_bytes_median_improvement_percent,held_shmem_bytes_win_rate_percent,launch_memory_growth_bytes_median_improvement_percent,launch_memory_growth_bytes_win_rate_percent,launch_cpu_usec_median_improvement_percent,launch_cpu_usec_win_rate_percent,launch_io_wbytes_median_improvement_percent,launch_io_wbytes_win_rate_percent,total_pss_kib_median_improvement_percent,total_pss_kib_win_rate_percent
plaintext-cold,1,lazy-pmem,10,22.403442631657587,100.0,24.787002891818393,60.0,0.3490755084893212,60.0,0.8824492362208303,60.0,0.013404387502502122,80.0,-21.498370889320302,0.0,0.7277209230077011,70.0,4.158666534191672,70.0,98.26119126896042,100.0,0.16370725648377826,70.0
plaintext-cold,1,vhost-user-blk-shared-cache,10,22.040571086589594,100.0,4.4528394381453555,70.0,0.5957356062645214,60.0,1.5159516701705003,50.0,0.012394645513138323,100.0,-21.341785525620708,0.0,0.7716045991328808,60.0,6.003322658146904,90.0,98.38098518773683,100.0,0.6909394481266168,50.0
plaintext-cold,4,lazy-pmem,10,29.294646535970738,90.0,11.268007354255767,70.0,0.7215873527352734,60.0,1.6058944036137754,60.0,0.08971283057988858,60.0,-5.371715333948322,0.0,0.781210173832388,60.0,3.0830014094497673,70.0,93.38959212376933,100.0,0.3872547090930607,70.0
plaintext-cold,4,vhost-user-blk-shared-cache,10,20.959091633359172,100.0,5.59626711489944,60.0,0.6607386547307121,70.0,1.815942846757717,70.0,-0.0036011217496438484,10.0,-5.38748761716071,0.0,0.7264377443622164,70.0,2.835517629110575,70.0,93.82391590013141,100.0,0.9265403941955012,80.0
plaintext-cold,8,lazy-pmem,10,15.552713257130538,80.0,-0.6415409430183223,50.0,0.14576896550223964,60.0,1.0893568889367662,50.0,-0.039689062022175634,50.0,-2.775202689399073,0.0,0.2510257230509678,60.0,4.574816748728106,70.0,87.59894459102902,100.0,0.024962077806401563,50.0
plaintext-cold,8,vhost-user-blk-shared-cache,10,20.187402779656438,80.0,5.860166118055053,70.0,0.42082901380146215,60.0,0.965713379334739,60.0,0.01477936322938216,80.0,-2.693743808580355,0.0,0.3999935862535976,60.0,1.9042945939307936,80.0,88.36633663366337,100.0,0.3417596839794199,60.0
plaintext-warm,1,lazy-pmem,10,-0.9000208876180193,30.0,4.619679724343448,50.0,0.8014689805857942,70.0,0.8198094827401571,50.0,0.01340797105384756,70.0,-21.522094926350245,0.0,-0.8487663798403143,40.0,1.599486975246552,60.0,0.0,0.0,-0.7121917571788058,30.0
plaintext-warm,1,vhost-user-blk-shared-cache,10,-1.3921085682492036,30.0,0.09341343726672102,50.0,1.2276968969538977,70.0,2.5492458680443804,60.0,0.012387736141220192,100.0,-21.341785525620708,0.0,0.3425193361651158,50.0,-1.5938669642997714,40.0,0.0,0.0,0.18611196082288828,50.0
plaintext-warm,4,lazy-pmem,10,-1.000634291623717,40.0,-3.043583184744633,40.0,0.05078880383546317,70.0,-0.6597721478321255,40.0,0.06735026974111147,50.0,-5.373387363546146,0.0,-0.023708959211043393,50.0,0.26095467830645924,50.0,0.0,0.0,0.10364857881140384,60.0
plaintext-warm,4,vhost-user-blk-shared-cache,10,1.3100716061287505,50.0,-6.369046964025955,30.0,-0.39762552295737535,50.0,-1.565791105083185,50.0,0.010787921087347985,80.0,-5.374382364120107,0.0,-0.6043643908111693,40.0,0.4045195068220451,60.0,0.0,0.0,-0.2610783849945762,30.0
plaintext-warm,8,lazy-pmem,10,-120.34847769095069,30.0,-2.387513489564008,50.0,-0.3045333861614019,40.0,-1.3294705904731006,40.0,0.16871759571074665,70.0,-2.551447443562017,0.0,-0.2724720203408326,40.0,-276.45044721663055,30.0,0.0,10.0,0.12841158462858512,60.0
plaintext-warm,8,vhost-user-blk-shared-cache,10,11.265977136872316,50.0,9.486182104777516,80.0,-0.32013006488056095,40.0,-1.5194306352272067,40.0,0.0036951501391259745,60.0,-2.693743808580355,0.0,-0.3951004586915534,40.0,20.244028114701027,60.0,0.0,0.0,-0.016077390756714605,50.0
