source_state,vm_count,mode,cache_backing,samples,application_ready_seconds_count,application_ready_seconds_mean,application_ready_seconds_p50,application_ready_seconds_p95,application_ready_seconds_min,application_ready_seconds_max,first_operation_seconds_count,first_operation_seconds_mean,first_operation_seconds_p50,first_operation_seconds_p95,first_operation_seconds_min,first_operation_seconds_max,held_memory_bytes_count,held_memory_bytes_mean,held_memory_bytes_p50,held_memory_bytes_p95,held_memory_bytes_min,held_memory_bytes_max,held_anon_bytes_count,held_anon_bytes_mean,held_anon_bytes_p50,held_anon_bytes_p95,held_anon_bytes_min,held_anon_bytes_max,held_file_bytes_count,held_file_bytes_mean,held_file_bytes_p50,held_file_bytes_p95,held_file_bytes_min,held_file_bytes_max,held_shmem_bytes_count,held_shmem_bytes_mean,held_shmem_bytes_p50,held_shmem_bytes_p95,held_shmem_bytes_min,held_shmem_bytes_max,launch_memory_growth_bytes_count,launch_memory_growth_bytes_mean,launch_memory_growth_bytes_p50,launch_memory_growth_bytes_p95,launch_memory_growth_bytes_min,launch_memory_growth_bytes_max,launch_cpu_usec_count,launch_cpu_usec_mean,launch_cpu_usec_p50,launch_cpu_usec_p95,launch_cpu_usec_min,launch_cpu_usec_max,launch_io_wbytes_count,launch_io_wbytes_mean,launch_io_wbytes_p50,launch_io_wbytes_p95,launch_io_wbytes_min,launch_io_wbytes_max,total_pss_kib_count,total_pss_kib_mean,total_pss_kib_p50,total_pss_kib_p95,total_pss_kib_min,total_pss_kib_max
plaintext-cold,1,lazy-pmem,file,10,10,0.8011222121999999,0.7848617075,1.1276861742499995,0.635124152,1.289399549,10,0.0033356875,0.003089307,0.005175518099999998,0.001709624,0.005592066,10,120966758.4,121409536.0,124054528.0,116264960.0,125022208.0,10,52232601.6,52711424.0,54987571.2,47693824.0,56156160.0,10,61123788.8,61114368.0,61217177.6,61059072.0,61239296.0,10,50112512.0,50108416.0,50184192.0,50053120.0,50184192.0,10,111391539.2,112021504.0,114559385.6,106635264.0,115687424.0,10,651863.6,639560.5,718429.85,613316.0,736577.0,10,11071488.0,11071488.0,11071488.0,11071488.0,11071488.0,10,93258.7,93468.5,94094.2,91997.0,94222.0
plaintext-cold,1,lazy-pmem,memfd,10,10,0.5557185157,0.5088052864999999,0.7162511222,0.478638334,0.731322686,10,0.0026985056,0.002914272,0.0037019129999999994,0.001587861,0.004099992,10,120239718.4,119941120.0,122712883.19999999,117948416.0,122757120.0,10,51698073.6,51333120.0,54503219.2,49324032.0,54648832.0,10,61120512.0,61122560.0,61206732.8,61050880.0,61227008.0,10,60891545.6,60880896.0,60981452.8,60825600.0,61001728.0,10,110586675.2,110827520.0,112653926.4,107778048.0,112963584.0,10,657618.8,632340.5,805950.3499999999,586833.0,831968.0,10,192512.0,192512.0,192512.0,192512.0,192512.0,10,93133.5,92992.0,94134.0,92348.0,94296.0
plaintext-cold,1,vhost-user-blk-shared-cache,file,10,10,0.8158745102999999,0.7819865935,0.9667192370499997,0.763867384,1.081004194,10,0.0031482426,0.003114678,0.0037352467499999994,0.002365542,0.004011288,10,130412134.4,130557952.0,133289779.19999999,127025152.0,133398528.0,10,56576409.6,56496128.0,59117363.2,53415936.0,59428864.0,10,66111488.0,66093056.0,66191155.2,66093056.0,66244608.0,10,54276096.0,54276096.0,54276096.0,54276096.0,54276096.0,10,120901222.4,121069568.0,124142592.0,117538816.0,124612608.0,10,731847.9,730477.5,755067.5,712728.0,762515.0,10,11890688.0,11890688.0,11890688.0,11890688.0,11890688.0,10,94174.8,94486.0,96469.65,91299.0,96741.0
plaintext-cold,1,vhost-user-blk-shared-cache,memfd,10,10,0.6226649205,0.6151100389999999,0.6657217677499999,0.602933534,0.699441611,10,0.0029907383,0.0030483619999999998,0.0032636971,0.002700405,0.003362023,10,130414182.4,129880064.0,136378982.39999998,122978304.0,137342976.0,10,56849203.2,56420352.0,62685388.8,49876992.0,63774720.0,10,66088550.4,66084864.0,66105139.2,66084864.0,66121728.0,10,65859584.0,65859584.0,65859584.0,65859584.0,65859584.0,10,120867635.2,120346624.0,126787993.6,113131520.0,127860736.0,10,697556.1,690362.5,750249.7999999999,660319.0,782675.0,10,192512.0,192512.0,192512.0,192512.0,192512.0,10,94370.1,94636.5,97676.35,91492.0,98053.0
plaintext-cold,4,lazy-pmem,file,10,10,1.0041337912,0.9687242025,1.2696023624999997,0.852853206,1.361218623,10,0.0039222348,0.003729555,0.00506475625,0.002614894,0.005172826,10,325924454.4,326033408.0,332229017.6,320565248.0,334389248.0,10,98944204.8,98846720.0,105571942.4,93581312.0,107245568.0,10,209835622.4,209948672.0,210202828.8,209141760.0,210333696.0,10,198159155.2,198225920.0,198521651.2,197468160.0,198639616.0,10,316228812.8,316338176.0,322467635.2,310857728.0,324382720.0,10,1972910.6,1866414.5,2543641.5999999987,1774497.0,3049159.0,10,11649024.0,11649024.0,11649024.0,11649024.0,11649024.0,10,281031.0,280751.5,284098.2,278935.0,284460.0
plaintext-cold,4,lazy-pmem,memfd,10,10,0.7656776973999999,0.7067034705,1.0910594333999994,0.640763801,1.334337672,10,0.0032980541000000004,0.00334543,0.0036621664999999994,0.002783909,0.003725963,10,324365107.2,324009984.0,328533401.6,319938560.0,330997760.0,10,97877606.4,97376256.0,102340812.8,93241344.0,105365504.0,10,209605427.2,209788928.0,209904435.2,208977920.0,209911808.0,10,208715776.0,208887808.0,209018880.0,208109568.0,209018880.0,10,314564608.0,313784320.0,319009382.4,310009856.0,321355776.0,10,2032820.2,1811614.5,3079002.449999998,1755876.0,4051515.0,10,770048.0,770048.0,770048.0,770048.0,770048.0,10,279752.5,279700.0,281101.3,278382.0,281158.0
plaintext-cold,4,vhost-user-blk-shared-cache,file,10,10,1.0193512918,0.967818816,1.1572678532999998,0.944680962,1.199099577,10,0.0034455409,0.0034739435,0.0039664978499999995,0.002865801,0.004125342,10,355791667.2,356993024.0,358204620.8,347983872.0,358252544.0,10,110961049.6,112300032.0,113859584.0,103002112.0,113868800.0,10,227534028.8,227487744.0,227775692.8,227450880.0,228007936.0,10,215059660.8,215007232.0,215295590.4,215007232.0,215531520.0,10,346155827.2,347367424.0,349077708.79999995,338288640.0,349503488.0,10,2118942.6,2112914.0,2194591.25,2043935.0,2195246.0,10,12468224.0,12468224.0,12468224.0,12468224.0,12468224.0,10,303866.1,304398.0,306029.65,300318.0,306112.0
plaintext-cold,4,vhost-user-blk-shared-cache,memfd,10,10,0.7923127892,0.8104695195,0.84064799865,0.701050375,0.841187973,10,0.003441689,0.0031396725,0.004681874899999999,0.002856281,0.005067839,10,351709184.0,351674368.0,358106316.8,344358912.0,358486016.0,10,107103436.8,106997760.0,112560128.0,100753408.0,113610752.0,10,227725721.6,227493888.0,228758732.8,227442688.0,229580800.0,10,226800435.2,226590720.0,227744153.6,226590720.0,228687872.0,10,342025420.8,341940224.0,348315443.2,335196160.0,348626944.0,10,2113041.6,2046480.0,2372107.7,1985165.0,2421830.0,10,770048.0,770048.0,770048.0,770048.0,770048.0,10,300001.3,300300.5,306095.4,293260.0,307044.0
plaintext-cold,8,lazy-pmem,file,10,10,1.4745421824,1.1612707135,2.2768562297499995,1.030674954,2.430285064,10,0.0032746546000000003,0.0033036315,0.0036161267499999995,0.002851673,0.003701674,10,593164288.0,592986112.0,597276262.4,588480512.0,597585920.0,10,155715993.6,155566080.0,159569715.2,152092672.0,160010240.0,10,407652761.6,408088576.0,408943411.2,404877312.0,409006080.0,10,395082547.2,395563008.0,396341248.0,392327168.0,396341248.0,10,583111475.2,583116800.0,586844160.0,578519040.0,586973184.0,10,6776783.8,3949696.0,13389584.499999996,3633531.0,15553846.0,10,12419072.0,12419072.0,12419072.0,12419072.0,12419072.0,10,528026.2,527855.0,531604.2,525083.0,532848.0
plaintext-cold,8,lazy-pmem,memfd,10,10,1.2192889259,0.9667167249999999,2.288679699699999,0.943727505,2.733737806,10,0.0035361195999999997,0.0032359835,0.005035839999999996,0.003020387,0.0063529,10,591310028.8,591050752.0,598675865.6,584073216.0,601591808.0,10,153963724.8,154740736.0,160619110.39999998,146362368.0,163057664.0,10,408069324.8,408365056.0,408879308.8,405622784.0,408899584.0,10,406285926.4,406614016.0,407003136.0,403877888.0,407003136.0,10,581325209.6,580972544.0,588671385.6,573964288.0,591384576.0,10,5876849.9,3797687.0,14774495.29999999,3657147.0,18824696.0,10,1540096.0,1540096.0,1540096.0,1540096.0,1540096.0,10,527355.1,526679.0,531708.1,523897.0,532807.0
