source_state,vm_count,cache_backing,pairs,application_ready_seconds_median_improvement_percent,application_ready_seconds_win_rate_percent,first_operation_seconds_median_improvement_percent,first_operation_seconds_win_rate_percent,held_memory_bytes_median_improvement_percent,held_memory_bytes_win_rate_percent,held_anon_bytes_median_improvement_percent,held_anon_bytes_win_rate_percent,held_file_bytes_median_improvement_percent,held_file_bytes_win_rate_percent,held_shmem_bytes_median_improvement_percent,held_shmem_bytes_win_rate_percent,launch_memory_growth_bytes_median_improvement_percent,launch_memory_growth_bytes_win_rate_percent,launch_cpu_usec_median_improvement_percent,launch_cpu_usec_win_rate_percent,launch_io_wbytes_median_improvement_percent,launch_io_wbytes_win_rate_percent,total_pss_kib_median_improvement_percent,total_pss_kib_win_rate_percent
plaintext-cold,1,file,10,2.3530238396976344,60.0,-3.2681460521086154,40.0,7.95635367142882,100.0,10.101068003330946,90.0,7.616509667823499,100.0,7.678665761074637,100.0,8.57870263344951,100.0,12.498648448839646,100.0,6.889424733034792,100.0,0.8817328216975571,60.0
plaintext-cold,1,memfd,10,17.320017281880528,70.0,6.786806233882842,60.0,8.210036796805758,100.0,10.044780689321463,80.0,7.508987231932565,100.0,7.559549723241494,100.0,8.758923775279936,100.0,7.285358292369327,80.0,0.0,0.0,1.5710121754764232,60.0
plaintext-cold,4,file,10,0.39390312387563803,60.0,-11.490282289085634,40.0,8.16059589107204,100.0,9.973663229684835,100.0,7.73870613442806,100.0,7.804998856968681,100.0,8.329069359256255,100.0,11.81588600394644,90.0,6.57030223390276,100.0,7.836581223877147,100.0
plaintext-cold,4,memfd,10,11.706209295517258,70.0,-2.205139326881881,40.0,7.974984972776858,100.0,9.804136062304835,100.0,7.835679476689895,100.0,7.812725958062183,100.0,8.272103254744945,100.0,11.438581285493699,90.0,0.0,0.0,6.654931648496635,100.0
plaintext-cold,8,file,10,9.116109633752314,60.0,12.054132231570524,100.0,9.922469808065031,100.0,15.349502412388656,100.0,7.974377710990359,100.0,8.011697020498362,100.0,9.977915913158991,100.0,10.19161664084438,60.0,6.188118811881188,100.0,9.195237792793353,100.0
plaintext-cold,8,memfd,10,10.972585046579198,80.0,5.881762181500062,70.0,9.869902994605436,100.0,15.557789991294792,100.0,7.893263865931199,100.0,7.922123696805551,100.0,10.017839447680277,100.0,10.584418901273459,80.0,0.0,0.0,9.507564957249006,100.0
plaintext-warm,1,file,10,4.712070352760343,70.0,4.161477631247728,60.0,6.451156231338553,100.0,5.308830525021719,90.0,7.612263858779808,100.0,7.780544864538526,100.0,11.060913182295415,100.0,8.337808678433731,100.0,0.0,0.0,0.6013829273780906,70.0
plaintext-warm,1,memfd,10,4.701000147719746,100.0,5.032203408829325,70.0,5.914299703917907,100.0,3.5224206449693414,70.0,7.610109645047389,100.0,7.643510168542819,100.0,9.993150678405444,100.0,11.628431648770945,100.0,0.0,0.0,-0.6402982695417867,30.0
plaintext-warm,4,file,10,5.931677238769637,90.0,16.205657274033634,90.0,8.069209081014922,100.0,9.367380857353188,100.0,7.884737668041974,100.0,7.96850649671313,100.0,9.620326831448264,100.0,9.866556868966041,90.0,0.0,0.0,6.695120250842905,100.0
plaintext-warm,4,memfd,10,4.769656890909058,80.0,14.962282626449593,80.0,8.866410907545564,100.0,12.3251084553545,90.0,7.863397839629222,100.0,7.9156540772262645,100.0,10.193525583965926,100.0,10.580263291114491,90.0,0.0,0.0,6.990680703604399,100.0
plaintext-warm,8,file,10,16.332316528846647,90.0,8.462582078890744,60.0,8.509157402222742,100.0,12.089204800589457,100.0,7.803406815985685,100.0,7.856435266326297,100.0,9.565917338207512,100.0,19.64421175548533,90.0,0.0,0.0,8.17686143271991,100.0
plaintext-warm,8,memfd,10,-1.0389631618655577,50.0,4.3529990907615055,70.0,8.66952921502049,100.0,12.497943552069149,100.0,7.914293704231941,100.0,7.947609516380021,100.0,9.447142984815375,100.0,-14.297635296437521,50.0,0.0,0.0,8.416869322513161,100.0
