vm_count,mode,cache_backing,samples,application_ready_seconds_count,application_ready_seconds_mean,application_ready_seconds_p50,application_ready_seconds_p95,application_ready_seconds_min,application_ready_seconds_max,tree_scan_seconds_count,tree_scan_seconds_mean,tree_scan_seconds_p50,tree_scan_seconds_p95,tree_scan_seconds_min,tree_scan_seconds_max,measured_memory_bytes_count,measured_memory_bytes_mean,measured_memory_bytes_p50,measured_memory_bytes_p95,measured_memory_bytes_min,measured_memory_bytes_max,total_memory_bytes_count,total_memory_bytes_mean,total_memory_bytes_p50,total_memory_bytes_p95,total_memory_bytes_min,total_memory_bytes_max,operation_cpu_usec_count,operation_cpu_usec_mean,operation_cpu_usec_p50,operation_cpu_usec_p95,operation_cpu_usec_min,operation_cpu_usec_max,host_writes_bytes_count,host_writes_bytes_mean,host_writes_bytes_p50,host_writes_bytes_p95,host_writes_bytes_min,host_writes_bytes_max,total_pss_kib_count,total_pss_kib_mean,total_pss_kib_p50,total_pss_kib_p95,total_pss_kib_min,total_pss_kib_max
1,lazy-pmem,file,10,10,0.3698577534,0.364457876,0.4196539145499999,0.334347285,0.443719636,10,0.9356616360000001,0.921951646,1.0054917148,0.896820277,1.018578478,10,95718604.8,95428608.0,98314444.8,92954624.0,98648064.0,10,324702617.6,324681728.0,328606924.79999995,320978944.0,329060352.0,10,1329543.6,1315128.0,1405766.75,1286907.0,1427234.0,10,192512.0,192512.0,192512.0,192512.0,192512.0,10,295544.0,295652.5,296934.65,292638.0,297143.0
1,lazy-pmem,memfd,10,10,0.36690271760000004,0.35807251149999997,0.40942674939999996,0.342569184,0.429065761,10,0.9481253698,0.9360694775,0.9978804944499999,0.908592211,1.010313022,10,94853529.6,94863360.0,98103705.6,91131904.0,98586624.0,10,319606374.4,320036864.0,321947238.4,315486208.0,322330624.0,10,1339148.4,1323353.0,1406528.0,1291675.0,1425185.0,10,192512.0,192512.0,192512.0,192512.0,192512.0,10,294964.9,295558.0,296883.75,291890.0,297129.0
1,vhost-user-blk-shared-cache,file,10,10,0.3842686822,0.3781303815,0.4213075019,0.35585387,0.425714378,10,2.624768182,2.458042249,3.0047450123,2.399666318,3.096000821,10,299254579.2,299104256.0,301263052.8,297889792.0,301522944.0,10,547864985.6,529725440.0,634160537.5999998,524623872.0,718057472.0,10,4620609.7,4366496.0,5211186.399999999,4272137.0,5361031.0,10,192512.0,192512.0,192512.0,192512.0,192512.0,10,314260.5,313815.5,315842.35,312936.0,315913.0
1,vhost-user-blk-shared-cache,memfd,10,10,0.3774201505,0.3824063915,0.39859024204999993,0.355997836,0.402961286,10,2.6466038261,2.6291194009999996,2.9115816862,2.419521336,2.957172232,10,299381145.6,299988992.0,301229465.6,296386560.0,301408256.0,10,524380979.2,523651072.0,530275737.6,516816896.0,532205568.0,10,4647043.9,4611216.5,5037249.949999999,4320702.0,5096672.0,10,192512.0,192512.0,192512.0,192512.0,192512.0,10,314191.0,314305.5,315745.95,312219.0,316434.0
4,lazy-pmem,file,10,10,0.6129936196,0.5707509725,0.8126518516499996,0.531635592,0.985860687,10,0.9824723005999999,0.95769072,1.14700220815,0.889003088,1.250182759,10,390327910.4,390551552.0,395760640.0,384118784.0,396083200.0,10,620226969.6,621340672.0,626103500.8,611950592.0,626114560.0,10,5663452.4,5481096.5,6909553.099999998,5160926.0,7897565.0,10,773734.4,770048.0,790323.2,770048.0,806912.0,10,567096.7,567414.5,571338.5,560161.0,571730.0
4,lazy-pmem,memfd,10,10,1.225332423,0.578116718,4.178935621999993,0.537077581,7.079896676,10,0.9675224842000001,0.9535683884999999,1.0759766329999998,0.898992786,1.122712715,10,388988108.8,388573184.0,394884505.6,382676992.0,395284480.0,10,614658867.2,612771840.0,621582336.0,609607680.0,622817280.0,10,5657789.7,5463909.5,6977898.199999997,5131101.0,8072075.0,10,770048.0,770048.0,770048.0,770048.0,770048.0,10,565757.2,565527.0,568241.75,563064.0,568550.0
4,vhost-user-blk-shared-cache,file,10,10,0.6213568294,0.5990017035,0.7487611818499997,0.573843863,0.850981142,10,3.8122705971000004,2.906359474,6.521400889099997,2.860696908,7.518375053,10,1204990771.2,1204602880.0,1209646694.4,1201664000.0,1210417152.0,10,1433280921.6,1432326144.0,1438822809.6,1426878464.0,1440706560.0,10,22686438.7,19312712.0,31632697.949999996,19038792.0,33111690.0,10,829030.4,770048.0,1064960.0,770048.0,1064960.0,10,1177249.5,1177758.0,1179765.05,1173434.0,1180256.0
4,vhost-user-blk-shared-cache,memfd,10,10,0.6025806668,0.5989700875,0.6406899670999999,0.571400154,0.648761627,10,4.5632552039,3.363244197,8.237983794049997,2.870366974,9.300102914,10,1202042470.4,1201463296.0,1209341337.6,1195323392.0,1209409536.0,10,1426465177.6,1425594368.0,1433440870.4,1419448320.0,1433759744.0,10,26811497.3,22052128.0,42746672.099999994,19042530.0,47324289.0,10,858521.6,770048.0,1064960.0,770048.0,1064960.0,10,1177382.8,1176658.0,1182988.55,1171667.0,1183304.0
8,lazy-pmem,file,10,10,0.8974173747,0.8582808314999999,1.0910825503999997,0.828644614,1.254656402,10,1.1777437403,1.1342589175,1.4055280903499996,1.076372159,1.553603757,10,779804672.0,780808192.0,785203814.4,771944448.0,785670144.0,10,1009106534.4,1010432000.0,1016700518.4000001,998154240.0,1016991744.0,10,12725464.2,12414841.5,14658749.149999999,11835078.0,15890585.0,10,1540096.0,1540096.0,1540096.0,1540096.0,1540096.0,10,927069.7,927966.5,932015.6499999999,918687.0,932557.0
8,lazy-pmem,memfd,10,10,0.9017927144,0.8493249705,1.1333381131,0.827985458,1.195552648,10,1.4499037198,1.191136846,2.7300227442499976,1.058564972,3.818038493,10,778561945.6,780384256.0,786085273.5999999,764338176.0,788328448.0,10,1001317580.8,1002117120.0,1009442611.2,990621696.0,1010417664.0,10,14770940.4,12768275.0,24686441.549999982,11707170.0,32927139.0,10,1540096.0,1540096.0,1540096.0,1540096.0,1540096.0,10,926475.2,927918.5,932670.25,915177.0,933460.0
