source_state,vm_count,mode,samples,application_ready_seconds_median,application_ready_seconds_p95,application_ready_seconds_min,application_ready_seconds_max,first_operation_ms_median,first_operation_ms_p95,first_operation_ms_min,first_operation_ms_max,held_memory_mib_median,held_memory_mib_p95,held_memory_mib_min,held_memory_mib_max,total_pss_mib_median,total_pss_mib_p95,total_pss_mib_min,total_pss_mib_max,app_ready_cpu_seconds_median,app_ready_cpu_seconds_p95,app_ready_cpu_seconds_min,app_ready_cpu_seconds_max,app_ready_io_read_mib_median,app_ready_io_read_mib_p95,app_ready_io_read_mib_min,app_ready_io_read_mib_max,app_ready_io_write_mib_median,app_ready_io_write_mib_p95,app_ready_io_write_mib_min,app_ready_io_write_mib_max,accelerator_read_range_bytes_median,accelerator_read_range_max_bytes_median,lazyd_materialized_bytes_median,lazyd_materialized_max_bytes_median,lazyd_fetch_requests_median,vhost_read_requests_median,pmem_mapped_rss_kib_median,pmem_mapped_rss_kib_p95,pmem_mapped_pss_kib_median,pmem_mapped_pss_kib_p95,pmem_mapped_shared_clean_kib_median,pmem_mapped_shared_clean_kib_p95
plaintext-cold,1,lazy-pmem,10,0.7849121665000001,0.8829556058499999,0.635918825,0.926320642,2.9371215,4.212739799999998,1.6779309999999998,5.1008130000000005,114.625,120.405859375,112.22265625,120.71875,91.7041015625,93.4041015625,89.505859375,94.3779296875,0.693596,0.769815,0.664569,0.773703,0.0,0.008593749999999983,0.0,0.015625,10.55859375,10.55859375,10.55859375,10.55859375,10772480.0,897024.0,10772480.0,897024.0,24.0,10.0,6680.0,6680.0,6680.0,6680.0,0.0,0.0
plaintext-cold,1,vhost-user-blk,10,0.9214638159999999,1.8495371128999984,0.900832797,2.504702039,4.907871500000001,5.72940165,4.499413,5.875437,125.14453125,134.236328125,122.38671875,137.453125,116.41796875,119.26923828124998,114.69140625,119.275390625,1.51798,1.6905281999999997,1.458379,1.763232,0.0,7.733593749999986,0.0,14.0546875,0.18359375,0.18359375,0.18359375,0.18359375,0.0,0.0,0.0,0.0,0.0,231.5,,,,,,
plaintext-cold,1,vhost-user-blk-shared-cache,10,0.7979380075,0.8820554829,0.76449173,0.883269303,3.0467035000000005,9.355268249999988,2.4644369999999998,14.352561,123.216796875,126.93359375,120.5546875,127.77734375,93.10498046875,94.845703125,89.435546875,94.8544921875,0.785263,0.8269058499999999,0.755377,0.834505,0.0,0.09199218749999982,0.0,0.1640625,11.33984375,11.33984375,11.33984375,11.33984375,11583488.0,897024.0,11583488.0,897024.0,236.0,236.0,,,,,,
plaintext-cold,4,lazy-pmem,10,0.888864329,1.1956096959499996,0.76068181,1.321772537,3.357268,5.449741549999998,2.523547,6.170921,308.841796875,312.4369140625,307.41796875,313.2578125,275.234375,278.10947265625,273.2822265625,278.822265625,1.905961,2.8709570999999983,1.848751,3.500301,0.0,0.0775390624999999,0.0,0.125,11.109375,11.109375,11.109375,11.109375,10772480.0,897024.0,10772480.0,897024.0,96.0,40.0,26720.0,26720.0,6680.0,6680.0,26720.0,26720.0
plaintext-cold,4,vhost-user-blk,10,1.4678714785,1.6483654940999997,1.376780056,1.714116003,5.865116,9.2502098,5.0401229999999995,9.428588,435.978515625,438.6341796875,431.1953125,439.75390625,409.09423828125,414.539453125,406.146484375,416.599609375,7.8720935,9.3718404,7.340566,10.02546,0.0,0.12929687499999998,0.0,0.1328125,0.734375,0.734375,0.734375,0.734375,0.0,0.0,0.0,0.0,0.0,981.0,,,,,,
plaintext-cold,4,vhost-user-blk-shared-cache,10,0.9693818775,1.2329969414000002,0.917031982,1.271249636,3.325393,20.691824449999967,2.77994,34.673179999999995,341.509765625,348.058984375,332.23828125,348.203125,296.935546875,304.3818359375,291.57421875,306.11328125,2.163927,2.3110537,2.100718,2.322904,0.0,0.012890624999999975,0.0,0.0234375,11.890625,11.890625,11.890625,11.890625,11583488.0,897024.0,11583488.0,897024.0,924.5,924.5,,,,,,
plaintext-cold,8,lazy-pmem,10,1.1120189150000002,1.5291120054999996,1.036077936,1.686641629,3.462329,6.917103849999997,3.028092,8.328811,566.63671875,579.1011718750001,561.31640625,580.57421875,517.7578125,523.1307617187499,511.052734375,525.0546875,3.8186165,4.02465565,3.543855,4.039651,0.0,0.14140624999999998,0.0,0.1484375,11.84375,11.84375,11.84375,11.84375,10772480.0,897024.0,10772480.0,897024.0,192.0,80.0,53418.0,53438.2,6677.5,6698.15,53412.0,53438.2
plaintext-cold,8,vhost-user-blk,10,2.8010426969999997,3.56456933505,2.651600516,3.658059522,6.5044260000000005,12.845378249999996,5.640281,15.048126,835.638671875,844.0484375,823.8359375,847.26171875,795.552734375,802.688720703125,786.8583984375,804.0751953125,22.789286,31.598980799999996,21.283585,33.291348,0.0,0.10917968749999996,0.0,0.125,1.46875,1.46875,1.46875,1.46875,0.0,0.0,0.0,0.0,0.0,2315.0,,,,,,
plaintext-cold,8,vhost-user-blk-shared-cache,10,1.347554954,1.5848474941,1.19991978,1.635284602,3.6591205,4.2256219,3.1497729999999997,4.277614,628.0703125,639.3267578125001,625.11328125,639.40234375,570.708984375,581.4320312499999,563.7314453125,583.0439453125,4.556072,8.126191649999999,4.177864,8.940333,0.0,0.002148437499999996,0.0,0.00390625,12.625,12.625,12.625,12.625,11583488.0,897024.0,11583488.0,897024.0,1868.5,1868.5,,,,,,
plaintext-warm,1,lazy-pmem,10,0.4423026085,0.5055111210999998,0.426036476,0.544449388,2.8393235,3.2274043,2.41077,3.396922,113.697265625,118.4693359375,110.328125,120.109375,91.53173828125,92.57978515625,90.412109375,92.8583984375,1.1043504999999998,1.4539605999999994,1.057845,1.580596,0.0,0.002148437499999996,0.0,0.00390625,10.7421875,10.7421875,10.7421875,10.7421875,0.0,0.0,0.0,0.0,24.0,10.0,6680.0,6680.0,6680.0,6680.0,0.0,0.0
