source_state,vm_count,comparison,left_mode,baseline_mode,metric,unit,rounds,left_median,left_p95,baseline_median,baseline_p95,paired_delta_median,paired_delta_ci_low,paired_delta_ci_high,improvement_pct_median,improvement_pct_ci_low,improvement_pct_ci_high,left_better_rounds,equal_rounds
plaintext-cold,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,application_ready_seconds,s,10,0.7979380075,0.8820554829,0.9214638159999999,1.8495371128999984,-0.11892104399999992,-0.20287080949999997,-0.07159456350000004,13.023215937276616,7.774788223249241,20.411022181036557,10,0
plaintext-cold,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,first_operation_ms,ms,10,3.0467035000000005,9.355268249999988,4.907871500000001,5.72940165,-2.0584095000000002,-2.5418600000000002,-1.7742299999999998,41.60064462623171,36.01057770000176,47.06119386823046,9,0
plaintext-cold,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,held_memory_mib,MiB,10,123.216796875,126.93359375,125.14453125,134.236328125,-2.82421875,-5.35546875,-0.123046875,2.2575486686530004,0.0995609018308326,4.109958630613346,8,0
plaintext-cold,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,total_pss_mib,MiB,10,93.10498046875,94.845703125,116.41796875,119.26923828124998,-23.99853515625,-26.072265625,-21.296875,20.490287118439575,18.486682603462015,22.25851926385801,10,0
plaintext-cold,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,app_ready_cpu_seconds,s,10,0.785263,0.8269058499999999,1.51798,1.6905281999999997,-0.7158675,-0.7770605,-0.694401,47.809955116324005,46.05513787768325,50.22417856729304,10,0
plaintext-cold,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,app_ready_io_read_mib,MiB,10,0.0,0.09199218749999982,0.0,7.733593749999986,0.0,-0.00390625,0.0,99.41634241245137,98.83268482490273,100.0,2,7
plaintext-cold,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,app_ready_io_write_mib,MiB,10,11.33984375,11.33984375,0.18359375,0.18359375,11.15625,11.15625,11.15625,-6076.595744680852,-6076.595744680852,-6076.595744680852,0,0
plaintext-cold,1,pmem_vs_current,lazy-pmem,vhost-user-blk,application_ready_seconds,s,10,0.7849121665000001,0.8829556058499999,0.9214638159999999,1.8495371128999984,-0.1363560425,-0.30230502000000004,-0.09583703899999996,14.86248962425783,10.422444662425217,32.22099092994167,9,0
plaintext-cold,1,pmem_vs_current,lazy-pmem,vhost-user-blk,first_operation_ms,ms,10,2.9371215,4.212739799999998,4.907871500000001,5.72940165,-2.360973,-3.1620660000000003,-1.7453349999999994,45.51419072509975,35.818995487467596,60.19680722850327,9,0
plaintext-cold,1,pmem_vs_current,lazy-pmem,vhost-user-blk,held_memory_mib,MiB,10,114.625,120.405859375,125.14453125,134.236328125,-10.130859375,-13.1328125,-6.712890625,8.215643441736663,5.368126024301535,10.323063399046813,10,0
plaintext-cold,1,pmem_vs_current,lazy-pmem,vhost-user-blk,total_pss_mib,MiB,10,91.7041015625,93.4041015625,116.41796875,119.26923828124998,-24.6962890625,-26.3369140625,-23.638671875,21.213436664898403,20.39223489524808,22.278377965842985,10,0
plaintext-cold,1,pmem_vs_current,lazy-pmem,vhost-user-blk,app_ready_cpu_seconds,s,10,0.693596,0.769815,1.51798,1.6905281999999997,-0.8335235,-0.8722945000000001,-0.7741169999999999,55.07863246019389,51.523915127052014,56.08908572434767,10,0
plaintext-cold,1,pmem_vs_current,lazy-pmem,vhost-user-blk,app_ready_io_read_mib,MiB,10,0.0,0.008593749999999983,0.0,7.733593749999986,0.0,-0.00390625,0.0,99.9444135630906,99.88882712618121,100.0,2,8
plaintext-cold,1,pmem_vs_current,lazy-pmem,vhost-user-blk,app_ready_io_write_mib,MiB,10,10.55859375,10.55859375,0.18359375,0.18359375,10.375,10.375,10.375,-5651.063829787234,-5651.063829787234,-5651.063829787234,0,0
plaintext-cold,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,application_ready_seconds,s,10,0.7849121665000001,0.8829556058499999,0.7979380075,0.8820554829,-0.03668448449999995,-0.11389309800000003,0.009920421499999943,4.281536982579201,-1.241505636663983,13.885020332522515,7,0
plaintext-cold,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,first_operation_ms,ms,10,2.9371215,4.212739799999998,3.0467035000000005,9.355268249999988,-0.3534599999999999,-1.1967880000000002,0.3597305000000002,12.571149404590694,-14.37705178442684,36.85298013897606,6,0
plaintext-cold,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,held_memory_mib,MiB,10,114.625,120.405859375,123.216796875,126.93359375,-8.296875,-11.453125,-4.640625,6.79627560433557,3.84204909284952,9.103893684406632,10,0
